imo_number,found,name,flag,type,ship_type_detailed,gross_tonnage,call_sign,mmsi,year_built,source,lookup_timestamp,error_message
0004711,False,,,,,,,,,GISIS,2026-03-16T06:42:48.832228+00:00,No results
9713478,True,BULK PRUDENCE,Liberia,Bulk Dry,Bulk Carrier,"34,810",5LLU2,636023066,2014,GISIS,2026-03-16T06:42:52.988852+00:00,
9434931,True,CAUCEDO EXPRESS,Antigua and Barbuda,Container,Container Ship (Fully Cellular),"26,836",V2HY3,305653000,2009,GISIS,2026-03-16T06:42:57.286417+00:00,
9703411,True,CL CONTIGO,Belgium,Bulk Dry,Bulk Carrier,"25,442",ONLE,205125000,2015,GISIS,2026-03-16T06:43:02.505119+00:00,
9700005,True,LOWLANDS PELIKAAN,Belgium,Bulk Dry,Bulk Carrier,"24,868",ONLV,205221000,2015,GISIS,2026-03-16T06:43:06.587992+00:00,
9955571,True,GOLDEN FRIGO,Belgium,Bulk Dry,Bulk Carrier,"49,508",ONOX,205410000,2024,GISIS,2026-03-16T06:43:12.493522+00:00,
9683271,True,MINERAL KEVIN,Belgium,Bulk Dry,Bulk Carrier,"94,528",ONQL,205544000,2014,GISIS,2026-03-16T06:43:17.062562+00:00,
9748368,True,LA STELLA,Belgium,Bulk Dry,Bulk Carrier,"34,830",ONIS,205700000,2016,GISIS,2026-03-16T06:43:22.984743+00:00,
9748485,True,LA TONDA,Belgium,Bulk Dry,Bulk Carrier,"34,773",ONIY,205717000,2016,GISIS,2026-03-16T06:43:28.025039+00:00,
9607576,True,STRAIT PEARL,Bahamas,General Cargo,General Cargo Ship (Open Hatch),"29,218",C6IO8,311001727,2011,GISIS,2026-03-16T06:43:33.486284+00:00,
9846079,True,LA LUNA,Belgium,Bulk Dry,Bulk Carrier,"35,194",ONKC,205776000,2019,GISIS,2026-03-16T06:43:39.602360+00:00,
9575668,True,MINERAL FAITH,Belgium,Bulk Dry,Bulk Carrier,"91,971",ONKE,205783000,2012,GISIS,2026-03-16T06:43:44.432958+00:00,
9846081,True,LA SELVA,Belgium,Bulk Dry,Bulk Carrier,"35,194",ONKJ,205789000,2019,GISIS,2026-03-16T06:43:50.222648+00:00,
9715816,True,CL CENTURY,Belgium,Bulk Dry,Bulk Carrier,"34,349",ONKK,205790000,2015,GISIS,2026-03-16T06:43:55.825685+00:00,
9553983,True,PEACE,Bulgaria,General Cargo,General Cargo Ship,"11,627",LZEV,207138000,2012,GISIS,2026-03-16T06:43:59.609067+00:00,
9689835,True,GRAECIA AETERNA,Cyprus,Bulk Dry,Bulk Carrier,"43,291",5BLN4,209004000,2014,GISIS,2026-03-16T06:44:03.944091+00:00,
9415222,True,LABRADOR,Cyprus,Bulk Dry,Bulk Carrier,"19,814",5BXP2,209008000,2010,GISIS,2026-03-16T06:44:08.021386+00:00,
9401960,True,ASTRAEA SB,Cyprus,Bulk Dry,Bulk Carrier,"42,931",5BPR4,209012000,2009,GISIS,2026-03-16T06:44:13.396719+00:00,
9416719,True,UBC TARRAGONA,Cyprus,General Cargo,General Cargo Ship (Open Hatch),"24,140",5BWR2,209017000,2009,GISIS,2026-03-16T06:44:17.883309+00:00,
9256884,True,GREAT PEACE,Liberia,Bulk Dry,Bulk Carrier,"40,002",5LOM4,636023599,2004,GISIS,2026-03-16T06:44:23.403264+00:00,
9719874,True,CAPE PIONEER,Cyprus,Container,Container Ship (Fully Cellular),"70,704",5BUE4,209087000,2017,GISIS,2026-03-16T06:44:27.282397+00:00,
9426881,True,UBC SALAVERRY,Cyprus,General Cargo,General Cargo Ship (Open Hatch),"21,018",5BDP3,209109000,2010,GISIS,2026-03-16T06:44:31.452082+00:00,
9287340,True,UBC STAVANGER,Cyprus,General Cargo,General Cargo Ship (Open Hatch),"19,748",P3XJ9,209156000,2004,GISIS,2026-03-16T06:44:35.905851+00:00,
9438676,True,AGIOS SPYRIDONAS,Cyprus,Bulk Dry,Bulk Carrier,"51,130",5BWU4,209172000,2010,GISIS,2026-03-16T06:44:40.874430+00:00,
9459979,True,SHOVELER,Cyprus,Bulk Dry,Bulk Carrier,"19,814",5BMD2,209182000,2009,GISIS,2026-03-16T06:44:46.625969+00:00,
9612325,True,IMAVERE,Cyprus,Bulk Dry,Bulk Carrier,"22,746",5BWV4,209184000,2012,GISIS,2026-03-16T06:44:52.822745+00:00,
9592123,True,ONE ENERGY,Cyprus,Bulk Dry,Bulk Carrier,"44,323",5BGT3,209191000,2011,GISIS,2026-03-16T06:44:58.664907+00:00,
9236078,True,SUNNINE 1,Panama,General Cargo,General Cargo Ship (Open Hatch),"19,746",3E7544,352003393,2001,GISIS,2026-03-16T06:45:02.934844+00:00,
9307229,True,PUSAN C,Cyprus,Container,Container Ship (Fully Cellular),"108,069",C4NK2,209251000,2006,GISIS,2026-03-16T06:45:06.839552+00:00,
9220976,True,RAYHON SAILING,Bahamas,General Cargo,General Cargo Ship (Open Hatch),"19,743",C6JD2,311001844,2000,GISIS,2026-03-16T06:45:13.170250+00:00,
9220988,True,YASSIN BEY,Panama,General Cargo,General Cargo Ship (Open Hatch),"19,743",HOA7635,352002305,2000,GISIS,2026-03-16T06:45:18.299169+00:00,
9309485,True,CYMONA STAR,Cyprus,Bulk Dry,Bulk Carrier,"46,982",C4GF2,209317000,2006,GISIS,2026-03-16T06:45:22.277362+00:00,
9432153,True,KRASZEWSKI,Liberia,General Cargo,General Cargo Ship,"24,221",5LFJ7,636021722,2011,GISIS,2026-03-16T06:45:26.335225+00:00,
9402287,True,MOUNT TROODOS,Cyprus,Bulk Dry,Bulk Carrier,"93,712",5BBR5,209384000,2009,GISIS,2026-03-16T06:45:32.124626+00:00,
9236080,True,BREEZE 1,Panama,General Cargo,General Cargo Ship (Open Hatch),"19,746",3E5239,352003608,2001,GISIS,2026-03-16T06:45:36.144685+00:00,
9247754,True,MARIA H,Cyprus,Container,Container Ship (Fully Cellular),"75,484",5BCQ5,209423000,2003,GISIS,2026-03-16T06:45:41.040464+00:00,
9509803,True,CONTSHIP CUP,Cyprus,Container,Container Ship (Fully Cellular),"17,068",5BMJ3,209425000,2012,GISIS,2026-03-16T06:45:47.471999+00:00,
9453406,True,MYKONOS WAVE,Cyprus,Bulk Dry,Bulk Carrier,"47,984",5BMN3,209430000,2012,GISIS,2026-03-16T06:45:53.512532+00:00,
9309497,True,MARINA,Cyprus,Bulk Dry,Bulk Carrier,"46,982",C4GG2,209438000,2006,GISIS,2026-03-16T06:45:58.076567+00:00,
9638173,True,CYMONA ENERGY,Cyprus,Bulk Dry,Bulk Carrier,"40,329",5BMQ4,209443000,2012,GISIS,2026-03-16T06:46:03.244774+00:00,
9507714,True,CONTSHIP FOX,Cyprus,Container,Container Ship (Fully Cellular),"9,909",5BDA5,209444000,2009,GISIS,2026-03-16T06:46:09.571907+00:00,
9594494,True,AAL PARIS,Cyprus,General Cargo,General Cargo Ship,"22,863",5BVD5,209451000,2011,GISIS,2026-03-16T06:46:14.978087+00:00,
9247742,True,MSC BOSPHORUS,Cyprus,Container,Container Ship (Fully Cellular),"75,484",5BDF5,209470000,2003,GISIS,2026-03-16T06:46:19.569773+00:00,
9302762,True,CHOLA SERENITY,India,Bulk Dry,Bulk Carrier,"39,738",ATBL2,419001964,2005,GISIS,2026-03-16T06:46:23.490025+00:00,
9517422,True,CONTSHIP ICE,Cyprus,Container,Container Ship (Fully Cellular),"16,137",5BDU5,209504000,2011,GISIS,2026-03-16T06:46:28.988813+00:00,
9317925,True,MSC TAMPA,Liberia,Container,Container Ship (Fully Cellular),"53,481",5LFN8,636021760,2006,GISIS,2026-03-16T06:46:34.458763+00:00,
9285990,True,AMERICA,Cyprus,Container,Container Ship (Fully Cellular),"90,645",P3XP9,209550000,2004,GISIS,2026-03-16T06:46:38.621677+00:00,
9247730,True,MSC APOLLO,Cyprus,Container,Container Ship (Fully Cellular),"75,484",5BFA5,209559000,2002,GISIS,2026-03-16T06:46:42.289954+00:00,
9697143,True,UBC HOUSTON,Marshall Islands,Bulk Dry,Bulk Carrier,"25,515",V7A3231,538011637,2015,GISIS,2026-03-16T06:46:48.317403+00:00,
9959149,True,LEMESSOS QUEEN,Cyprus,Bulk Dry,Bulk Carrier,"43,613",5BFT6,209566000,2023,GISIS,2026-03-16T06:46:51.985975+00:00,
9518919,True,CAPE BREEZE,Cyprus,Bulk Dry,Bulk Carrier,"93,960",5BWU2,209596000,2010,GISIS,2026-03-16T06:46:56.955596+00:00,
9852810,True,VASSOS 2,Cyprus,Bulk Dry,Bulk Carrier,"43,497",5BFT5,209607000,2019,GISIS,2026-03-16T06:47:01.342764+00:00,
9266542,True,BF LETICIA,Cyprus,Container,Container Ship (Fully Cellular),"9,990",5BFY5,209613000,2003,GISIS,2026-03-16T06:47:07.048684+00:00,
9247766,True,MSC TAURUS VII,Cyprus,Container,Container Ship (Fully Cellular),"75,484",5BFZ5,209615000,2003,GISIS,2026-03-16T06:47:11.992743+00:00,
9382097,True,SAN MARTIN,Cyprus,Ro-Ro Cargo,Vehicles Carrier,"40,619",5BGH5,209631000,2009,GISIS,2026-03-16T06:47:17.356123+00:00,
9167980,True,CAMPECHE BAY,Cyprus,General Cargo,General Cargo Ship,"2,039",P3ZF9,209641000,1998,GISIS,2026-03-16T06:47:21.756401+00:00,
9975466,True,MORPHOU,Cyprus,Bulk Dry,Bulk Carrier,"43,543",5BGT6,209652000,2023,GISIS,2026-03-16T06:47:26.108404+00:00,
9516399,True,LEMESSOS WIND,Cyprus,Bulk Dry,Bulk Carrier,"39,737",5BHF5,209677000,2009,GISIS,2026-03-16T06:47:29.894353+00:00,
9403451,True,SAFESEA JANAKI,Panama,Container,Container Ship (Fully Cellular),"9,957",3E8339,352005183,2008,GISIS,2026-03-16T06:47:34.355874+00:00,
9406934,True,CONTSHIP LUV,Liberia,Container,Container Ship (Fully Cellular),"9,957",5LTU7,636024683,2008,GISIS,2026-03-16T06:47:39.030565+00:00,
9364356,True,SAFESEA RAMA,Panama,Container,Container Ship (Fully Cellular),"9,940",3E7256,352005053,2006,GISIS,2026-03-16T06:47:43.269723+00:00,
9262704,True,MSC AQUARIUS VII,Cyprus,Container,Container Ship (Fully Cellular),"75,484",5BJC5,209716000,2003,GISIS,2026-03-16T06:47:49.219992+00:00,
9595266,True,ODYSSEAS I,Cyprus,Bulk Dry,Bulk Carrier,"44,289",5BHX4,209721000,2013,GISIS,2026-03-16T06:47:53.747046+00:00,
9453377,True,BLUE WAVE,Cyprus,Bulk Dry,Bulk Carrier,"47,984",5BGC3,209722000,2011,GISIS,2026-03-16T06:47:58.901334+00:00,
9274264,True,PROGRESO,Cyprus,General Cargo,General Cargo Ship,"2,978",P3ZH9,209729000,2005,GISIS,2026-03-16T06:48:04.957508+00:00,
9460904,True,ONE OCEAN,Cyprus,Bulk Dry,Bulk Carrier,"43,152",5BJW5,209761000,2009,GISIS,2026-03-16T06:48:09.267918+00:00,
9650169,True,ALTUS,Cyprus,Bulk Dry,Bulk Carrier,"33,084",5BJY5,209766000,2012,GISIS,2026-03-16T06:48:13.493028+00:00,
9698226,True,TROODOS AIR,Cyprus,Bulk Dry,Bulk Carrier,"45,229",5BJJ4,209783000,2016,GISIS,2026-03-16T06:48:18.821775+00:00,
9604952,True,VENUS HORIZON,Cyprus,Bulk Dry,Bulk Carrier,"50,647",5BNP3,209786000,2012,GISIS,2026-03-16T06:48:24.264426+00:00,
9450595,True,SYNERGY KEELUNG,Cyprus,Container,Container Ship (Fully Cellular),"40,030",5BKF5,209795000,2009,GISIS,2026-03-16T06:48:29.396827+00:00,
9450583,True,SYNERGY OAKLAND,Cyprus,Container,Container Ship (Fully Cellular),"40,030",5BKE5,209798000,2009,GISIS,2026-03-16T06:48:33.739467+00:00,
9975478,True,RIZOKARPASO,Cyprus,Bulk Dry,Bulk Carrier,"43,543",5BHR6,209831000,2023,GISIS,2026-03-16T06:48:39.863657+00:00,
9355422,True,ANDROMEDA J,Cyprus,Container,Container Ship (Fully Cellular),"8,273",5BKR3,209850000,2006,GISIS,2026-03-16T06:48:45.494444+00:00,
9381524,True,PEDHOULAS COMMANDER,Cyprus,Bulk Dry,Bulk Carrier,"44,146",5BVL3,209854000,2008,GISIS,2026-03-16T06:48:50.328711+00:00,
9395032,True,SL HARRIER,Liberia,Container,Container Ship (Fully Cellular),"15,375",5LZN5,636025867,2007,GISIS,2026-03-16T06:48:56.720381+00:00,
9875135,True,TROODOS OAK,Cyprus,Bulk Dry,Bulk Carrier,"45,229",5BKZ5,209877000,2020,GISIS,2026-03-16T06:49:00.733493+00:00,
9181156,True,BALTIC JASMINE,Cyprus,Refrigerated Cargo,Refrigerated Cargo Ship,"9,859",5BLD5,209882000,1998,GISIS,2026-03-16T06:49:06.423092+00:00,
9848730,True,CAPE ALTIUS,Cyprus,Container,Container Ship (Fully Cellular),"31,622",5BLF5,209888000,2020,GISIS,2026-03-16T06:49:10.857702+00:00,
9317834,True,XENIA,Cyprus,Bulk Dry,Bulk Carrier,"47,051",5BXG3,209889000,2006,GISIS,2026-03-16T06:49:17.836508+00:00,
9961439,True,KERYNIA,Cyprus,Bulk Dry,Bulk Carrier,"43,543",5BJF6,209891000,2024,GISIS,2026-03-16T06:49:23.506046+00:00,
9453391,True,NEW KNIGHT,Panama,Bulk Dry,Bulk Carrier,"47,984",3E5106,352003439,2011,GISIS,2026-03-16T06:49:29.657085+00:00,
9299630,True,CMA CGM NABUCCO,Cyprus,Container,Container Ship (Fully Cellular),"91,410",5BLX5,209920000,2006,GISIS,2026-03-16T06:49:33.730253+00:00,
9426867,True,UBC SAGUNTO,Cyprus,General Cargo,General Cargo Ship (Open Hatch),"21,018",5BBF3,209933000,2010,GISIS,2026-03-16T06:49:38.488124+00:00,
9591600,True,VENUS HISTORY,Cyprus,Bulk Dry,Bulk Carrier,"50,647",5BKT3,209941000,2011,GISIS,2026-03-16T06:49:42.055535+00:00,
9843766,True,ARISTOTELES GRAECIA,Cyprus,Bulk Dry,Bulk Carrier,"44,095",5BLH5,209964000,2020,GISIS,2026-03-16T06:49:48.403801+00:00,
9307243,True,LE HAVRE,Cyprus,Container,Container Ship (Fully Cellular),"108,069",C4PW2,209979000,2006,GISIS,2026-03-16T06:49:53.196473+00:00,
9478810,True,MCI VERONICA,Indonesia,Bulk Dry,Bulk Carrier,"31,759",YDUN3,525801331,2009,GISIS,2026-03-16T06:49:56.906426+00:00,
9278430,True,PANAMAX BREEZE,Liberia,Bulk Dry,Bulk Carrier,"39,802",5LJS8,636022634,2004,GISIS,2026-03-16T06:50:02.255154+00:00,
9866249,True,CONTAINERSHIPS BOREALIS,Cyprus,Container,Container Ship (Fully Cellular),"17,982",5BQN5,210028000,2021,GISIS,2026-03-16T06:50:06.698189+00:00,
9255050,True,VAST FOISON,Panama,General Cargo,General Cargo Ship (Open Hatch),"19,746",3E5313,352003902,2002,GISIS,2026-03-16T06:50:10.477185+00:00,
9333369,True,QUEEN B III,Liberia,Container,Container Ship (Fully Cellular),"17,360",5LZA9,636025764,2006,GISIS,2026-03-16T06:50:16.518244+00:00,
9510694,True,GLADE,Marshall Islands,Bulk Dry,Bulk Carrier,"45,999",V7A3861,538012032,2011,GISIS,2026-03-16T06:50:21.815744+00:00,
9848742,True,CAPE CITIUS,Cyprus,Container,Container Ship (Fully Cellular),"31,622",5BPN5,210070000,2021,GISIS,2026-03-16T06:50:25.807405+00:00,
9296626,True,AMO,Marshall Islands,Bulk Dry,Bulk Carrier,"43,151",V7A5848,538010287,2006,GISIS,2026-03-16T06:50:31.653845+00:00,
