mmsi,imo,imo_broadcast_count,imo_total_non_null,imo_confidence,imo_confident
102810,IMO0004711,1,1,1.0,true
205087000,IMO9713478,4001,4001,1.0,true
205118000,IMO9434931,8964,8964,1.0,true
205125000,IMO9703411,9790,9790,1.0,true
205221000,IMO9700005,3827,3827,1.0,true
205410000,IMO9955571,1252,1252,1.0,true
205544000,IMO9683271,14,14,1.0,true
205700000,IMO9748368,5897,5897,1.0,true
205717000,IMO9748485,6987,6987,1.0,true
205728000,IMO9607576,1780,1780,1.0,true
205776000,IMO9846079,10596,10596,1.0,true
205783000,IMO9575668,272,272,1.0,true
205789000,IMO9846081,10659,10659,1.0,true
205790000,IMO9715816,878,878,1.0,true
207138000,IMO9553983,3336,3336,1.0,true
209004000,IMO9689835,1320,1320,1.0,true
209008000,IMO9415222,5752,5752,1.0,true
209012000,IMO9401960,196,196,1.0,true
209017000,IMO9416719,805,805,1.0,true
209026000,IMO9256884,4585,4585,1.0,true
209087000,IMO9719874,41522,41522,1.0,true
209109000,IMO9426881,13866,13866,1.0,true
209156000,IMO9287340,9246,9246,1.0,true
209172000,IMO9438676,3490,3490,1.0,true
209182000,IMO9459979,369,369,1.0,true
209184000,IMO9612325,212,212,1.0,true
209191000,IMO9592123,2757,2757,1.0,true
209218000,IMO9236078,14709,14709,1.0,true
209251000,IMO9307229,5594,5594,1.0,true
209289000,IMO9220976,10318,10318,1.0,true
209316000,IMO9220988,31,31,1.0,true
209317000,IMO9309485,255,255,1.0,true
209355000,IMO9432153,873,873,1.0,true
209384000,IMO9402287,536,536,1.0,true
209393000,IMO9236080,1377,1377,1.0,true
209423000,IMO9247754,14961,14961,1.0,true
209425000,IMO9509803,4574,4574,1.0,true
209430000,IMO9453406,4851,4851,1.0,true
209438000,IMO9309497,1602,1602,1.0,true
209443000,IMO9638173,27019,27019,1.0,true
209444000,IMO9507714,6530,6530,1.0,true
209451000,IMO9594494,1201,1201,1.0,true
209470000,IMO9247742,28513,28513,1.0,true
209497000,IMO9302762,2440,2440,1.0,true
209504000,IMO9517422,4368,4368,1.0,true
209520000,IMO9317925,1276,1276,1.0,true
209550000,IMO9285990,34046,34046,1.0,true
209559000,IMO9247730,18721,18721,1.0,true
209565000,IMO9697143,3888,3888,1.0,true
209566000,IMO9959149,18734,18734,1.0,true
209596000,IMO9518919,280,280,1.0,true
209607000,IMO9852810,10651,10651,1.0,true
209613000,IMO9266542,14864,14864,1.0,true
209615000,IMO9247766,31299,31299,1.0,true
209631000,IMO9382097,10724,10724,1.0,true
209641000,IMO9167980,16259,16259,1.0,true
209652000,IMO9975466,22766,22766,1.0,true
209677000,IMO9516399,9279,9279,1.0,true
209697000,IMO9403451,9091,9091,1.0,true
209699000,IMO9406934,3317,3317,1.0,true
209705000,IMO9364356,2245,2245,1.0,true
209716000,IMO9262704,3952,3952,1.0,true
