mmsi,imo,ship_type_detailed,gross_tonnage,ship_type_group
102810,IMO0004711,,,Other Cargo
205087000,IMO9713478,Bulk Carrier,34810.0,Bulk Carrier
205118000,IMO9434931,Container Ship (Fully Cellular),26836.0,Container Ship
205125000,IMO9703411,Bulk Carrier,25442.0,Bulk Carrier
205221000,IMO9700005,Bulk Carrier,24868.0,Bulk Carrier
205410000,IMO9955571,Bulk Carrier,49508.0,Bulk Carrier
205544000,IMO9683271,Bulk Carrier,94528.0,Bulk Carrier
205700000,IMO9748368,Bulk Carrier,34830.0,Bulk Carrier
205717000,IMO9748485,Bulk Carrier,34773.0,Bulk Carrier
205728000,IMO9607576,General Cargo Ship (Open Hatch),29218.0,Other Cargo
205776000,IMO9846079,Bulk Carrier,35194.0,Bulk Carrier
205783000,IMO9575668,Bulk Carrier,91971.0,Bulk Carrier
205789000,IMO9846081,Bulk Carrier,35194.0,Bulk Carrier
205790000,IMO9715816,Bulk Carrier,34349.0,Bulk Carrier
207138000,IMO9553983,General Cargo Ship,11627.0,Other Cargo
209004000,IMO9689835,Bulk Carrier,43291.0,Bulk Carrier
209008000,IMO9415222,Bulk Carrier,19814.0,Bulk Carrier
209012000,IMO9401960,Bulk Carrier,42931.0,Bulk Carrier
209017000,IMO9416719,General Cargo Ship (Open Hatch),24140.0,Other Cargo
209026000,IMO9256884,Bulk Carrier,40002.0,Bulk Carrier
209087000,IMO9719874,Container Ship (Fully Cellular),70704.0,Container Ship
209109000,IMO9426881,General Cargo Ship (Open Hatch),21018.0,Other Cargo
209156000,IMO9287340,General Cargo Ship (Open Hatch),19748.0,Other Cargo
209172000,IMO9438676,Bulk Carrier,51130.0,Bulk Carrier
209182000,IMO9459979,Bulk Carrier,19814.0,Bulk Carrier
209184000,IMO9612325,Bulk Carrier,22746.0,Bulk Carrier
209191000,IMO9592123,Bulk Carrier,44323.0,Bulk Carrier
209218000,IMO9236078,General Cargo Ship (Open Hatch),19746.0,Other Cargo
209251000,IMO9307229,Container Ship (Fully Cellular),108069.0,Container Ship
209289000,IMO9220976,General Cargo Ship (Open Hatch),19743.0,Other Cargo
209316000,IMO9220988,General Cargo Ship (Open Hatch),19743.0,Other Cargo
209317000,IMO9309485,Bulk Carrier,46982.0,Bulk Carrier
209355000,IMO9432153,General Cargo Ship,24221.0,Other Cargo
209384000,IMO9402287,Bulk Carrier,93712.0,Bulk Carrier
209393000,IMO9236080,General Cargo Ship (Open Hatch),19746.0,Other Cargo
209423000,IMO9247754,Container Ship (Fully Cellular),75484.0,Container Ship
209425000,IMO9509803,Container Ship (Fully Cellular),17068.0,Container Ship
209430000,IMO9453406,Bulk Carrier,47984.0,Bulk Carrier
209438000,IMO9309497,Bulk Carrier,46982.0,Bulk Carrier
209443000,IMO9638173,Bulk Carrier,40329.0,Bulk Carrier
209444000,IMO9507714,Container Ship (Fully Cellular),9909.0,Container Ship
209451000,IMO9594494,General Cargo Ship,22863.0,Other Cargo
209470000,IMO9247742,Container Ship (Fully Cellular),75484.0,Container Ship
209497000,IMO9302762,Bulk Carrier,39738.0,Bulk Carrier
209504000,IMO9517422,Container Ship (Fully Cellular),16137.0,Container Ship
209520000,IMO9317925,Container Ship (Fully Cellular),53481.0,Container Ship
209550000,IMO9285990,Container Ship (Fully Cellular),90645.0,Container Ship
209559000,IMO9247730,Container Ship (Fully Cellular),75484.0,Container Ship
209565000,IMO9697143,Bulk Carrier,25515.0,Bulk Carrier
209566000,IMO9959149,Bulk Carrier,43613.0,Bulk Carrier
209596000,IMO9518919,Bulk Carrier,93960.0,Bulk Carrier
209607000,IMO9852810,Bulk Carrier,43497.0,Bulk Carrier
209613000,IMO9266542,Container Ship (Fully Cellular),9990.0,Container Ship
209615000,IMO9247766,Container Ship (Fully Cellular),75484.0,Container Ship
209631000,IMO9382097,Vehicles Carrier,40619.0,Other Cargo
209641000,IMO9167980,General Cargo Ship,2039.0,Other Cargo
209652000,IMO9975466,Bulk Carrier,43543.0,Bulk Carrier
209677000,IMO9516399,Bulk Carrier,39737.0,Bulk Carrier
209697000,IMO9403451,Container Ship (Fully Cellular),9957.0,Container Ship
209699000,IMO9406934,Container Ship (Fully Cellular),9957.0,Container Ship
209705000,IMO9364356,Container Ship (Fully Cellular),9940.0,Container Ship
209716000,IMO9262704,Container Ship (Fully Cellular),75484.0,Container Ship
209721000,IMO9595266,Bulk Carrier,44289.0,Bulk Carrier
209722000,IMO9453377,Bulk Carrier,47984.0,Bulk Carrier
209729000,IMO9274264,General Cargo Ship,2978.0,Other Cargo
209761000,IMO9460904,Bulk Carrier,43152.0,Bulk Carrier
209766000,IMO9650169,Bulk Carrier,33084.0,Bulk Carrier
209783000,IMO9698226,Bulk Carrier,45229.0,Bulk Carrier
209786000,IMO9604952,Bulk Carrier,50647.0,Bulk Carrier
209795000,IMO9450595,Container Ship (Fully Cellular),40030.0,Container Ship
209798000,IMO9450583,Container Ship (Fully Cellular),40030.0,Container Ship
209831000,IMO9975478,Bulk Carrier,43543.0,Bulk Carrier
209850000,IMO9355422,Container Ship (Fully Cellular),8273.0,Container Ship
209854000,IMO9381524,Bulk Carrier,44146.0,Bulk Carrier
209862000,IMO9395032,Container Ship (Fully Cellular),15375.0,Container Ship
209877000,IMO9875135,Bulk Carrier,45229.0,Bulk Carrier
209882000,IMO9181156,Refrigerated Cargo Ship,9859.0,Other Cargo
209888000,IMO9848730,Container Ship (Fully Cellular),31622.0,Container Ship
209889000,IMO9317834,Bulk Carrier,47051.0,Bulk Carrier
209891000,IMO9961439,Bulk Carrier,43543.0,Bulk Carrier
209919000,IMO9453391,Bulk Carrier,47984.0,Bulk Carrier
209920000,IMO9299630,Container Ship (Fully Cellular),91410.0,Container Ship
209933000,IMO9426867,General Cargo Ship (Open Hatch),21018.0,Other Cargo
