Date;Index
03/19/2021;2281
03/26/2021;2178
04/02/2021;2072
04/09/2021;2085
04/16/2021;2385
04/23/2021;2788
04/30/2021;3053
05/07/2021;3183
05/14/2021;2939
05/21/2021;2869
05/28/2021;2596
06/04/2021;2438
06/11/2021;2857
06/18/2021;3218
06/25/2021;3255
07/02/2021;3285
07/09/2021;3300
07/16/2021;3039
07/23/2021;3199
07/30/2021;3292
08/06/2021;3371
08/13/2021;3566
08/20/2021;4092
08/27/2021;4235
09/03/2021;3944
09/10/2021;3864
09/17/2021;4275
09/24/2021;4644
10/01/2021;5202
10/08/2021;5526
10/15/2021;4854
10/22/2021;4410
10/29/2021;3519
11/05/2021;2715
11/12/2021;2807
11/19/2021;2552
11/26/2021;2767
12/03/2021;3171
12/10/2021;3272
12/17/2021;2379
12/24/2021;2217
12/31/2021;2217
01/07/2022;2289
01/14/2022;1764
01/21/2022;1415
01/28/2022;1381
02/04/2022;1423
02/11/2022;1977
02/18/2022;1964
02/25/2022;2076
03/04/2022;2148
03/11/2022;2718
03/18/2022;2605
03/25/2022;2544
04/01/2022;2357
04/08/2022;2055
04/15/2022;2137
04/22/2022;2307
04/29/2022;2404
05/06/2022;2718
05/13/2022;3104
05/20/2022;3344
05/27/2022;2681
06/03/2022;2633
06/10/2022;2320
06/17/2022;2578
06/24/2022;2331
07/01/2022;2214
07/08/2022;2067
07/15/2022;2150
07/22/2022;2146
07/29/2022;1895
08/05/2022;1560
08/12/2022;1477
08/19/2022;1279
08/26/2022;1082
09/02/2022;1086
09/09/2022;1213
09/16/2022;1553
09/23/2022;1816
09/30/2022;1760
10/07/2022;1961
10/14/2022;1838
10/21/2022;1819
10/28/2022;1534
11/04/2022;1323
11/11/2022;1355
11/18/2022;1189
11/25/2022;1324
12/02/2022;1324
12/09/2022;1386
12/16/2022;1560
12/23/2022;1515
12/30/2022;1515
01/06/2023;1130
01/13/2023;946
01/20/2023;763
01/27/2023;676
02/03/2023;621
02/10/2023;602
02/17/2023;538
02/24/2023;883
03/03/2023;1211
03/10/2023;1424
03/17/2023;1535
03/24/2023;1489
03/31/2023;1389
04/07/2023;1560
04/14/2023;1435
04/21/2023;1504
04/28/2023;1576
05/05/2023;1558
05/12/2023;1558
05/19/2023;1384
05/26/2023;1172
06/02/2023;919
06/09/2023;1055
06/16/2023;1076
06/23/2023;1240
06/30/2023;1091
07/07/2023;1009
07/14/2023;1090
07/21/2023;978
07/28/2023;1110
08/04/2023;1136
08/11/2023;1129
08/18/2023;1237
08/25/2023;1080
09/01/2023;1065
09/08/2023;1186
09/15/2023;1381
09/22/2023;1593
09/29/2023;1701
10/06/2023;1929
10/13/2023;1945
10/20/2023;2046
10/27/2023;1563
11/03/2023;1462
11/10/2023;1643
11/17/2023;1820
11/24/2023;2102
12/01/2023;3192
12/08/2023;2483
12/15/2023;2348
12/22/2023;2094
12/29/2023;2094
01/05/2024;2110
01/12/2024;1460
01/19/2024;1503
01/26/2024;1518
02/02/2024;1407
02/09/2024;1545
02/16/2024;1610
02/23/2024;1866
03/01/2024;2203
03/08/2024;2345
03/15/2024;2374
03/22/2024;2196
03/29/2024;1821
04/05/2024;1628
04/12/2024;1729
04/19/2024;1919
04/26/2024;1721
05/03/2024;1876
05/10/2024;2129
05/17/2024;1844
05/24/2024;1797
05/31/2024;1815
06/07/2024;1881
06/14/2024;1948
06/21/2024;1997
06/28/2024;2050
07/05/2024;1966
07/12/2024;1997
07/19/2024;1902
07/26/2024;1808
08/02/2024;1675
08/09/2024;1670
08/16/2024;1691
08/23/2024;1762
08/30/2024;1814
09/06/2024;1941
09/13/2024;1890
09/20/2024;1977
09/27/2024;2110
10/04/2024;1928
10/11/2024;1809
10/18/2024;1576
10/25/2024;1410
11/01/2024;1378
11/08/2024;1495
11/15/2024;1785
11/22/2024;1537
11/29/2024;1354
12/06/2024;1167
12/13/2024;1051
12/20/2024;990
12/27/2024;997
01/03/2025;1072
01/10/2025;1048
01/17/2025;987
01/24/2025;778
01/31/2025;735
02/07/2025;815
02/14/2025;792
02/21/2025;981
02/28/2025;1229
03/07/2025;1400
03/14/2025;1669
03/21/2025;1643
03/28/2025;1602
04/04/2025;1489
04/11/2025;1274
04/18/2025;1261
04/25/2025;1373
05/02/2025;1421
05/09/2025;1299
05/16/2025;1388
05/23/2025;1340
05/30/2025;1418
06/06/2025;1633
06/13/2025;1968
06/20/2025;1689
06/27/2025;1521
07/04/2025;1436
07/11/2025;1663
07/18/2025;2052
07/25/2025;2257
08/01/2025;2018
08/08/2025;2051
08/15/2025;2044
08/22/2025;1944
08/29/2025;2025
09/05/2025;1979
09/12/2025;2126
09/19/2025;2203
09/26/2025;2259
10/03/2025;1901
10/10/2025;1936
10/17/2025;2069
10/24/2025;1991
10/31/2025;1966
11/07/2025;2104
11/14/2025;2125
11/21/2025;2275
11/28/2025;2560
12/05/2025;2727
12/12/2025;2205
12/19/2025;2023
12/26/2025;1877
01/02/2026;1882
01/09/2026;1688
01/16/2026;1567
01/23/2026;1762
01/30/2026;2148
02/06/2026;1923
02/13/2026;2083
02/20/2026;2043
02/27/2026;2140
03/06/2026;2010
03/13/2026;2028
03/15/2026;2028
