Date,Index
03/31/2026,4.5425
03/30/2026,4.5575
03/27/2026,4.62
03/26/2026,4.67
03/25/2026,4.6725
03/24/2026,4.625
03/23/2026,4.595
03/20/2026,4.655
03/19/2026,4.6975
03/18/2026,4.6325
03/17/2026,4.54
03/16/2026,4.54
03/13/2026,4.525
03/12/2026,4.4825
03/11/2026,4.4425
03/10/2026,4.3625
03/09/2026,4.375
03/06/2026,4.47
03/05/2026,4.415
03/04/2026,4.3175
03/03/2026,4.3425
03/02/2026,4.3325
02/27/2026,4.3875
02/26/2026,4.3325
02/25/2026,4.305
02/24/2026,4.2775
02/23/2026,4.275
02/20/2026,4.275
02/19/2026,4.2575
02/18/2026,4.27
02/17/2026,4.2625
02/13/2026,4.3175
02/12/2026,4.3125
02/11/2026,4.275
02/10/2026,4.2875
02/09/2026,4.2875
02/06/2026,4.3025
02/05/2026,4.35
02/04/2026,4.295
02/03/2026,4.285
02/02/2026,4.2575
01/30/2026,4.2825
01/29/2026,4.3075
01/28/2026,4.30
01/27/2026,4.265
01/26/2026,4.2825
01/23/2026,4.305
01/22/2026,4.24
01/21/2026,4.2175
01/20/2026,4.2375
01/16/2026,4.2475
01/15/2026,4.2025
01/14/2026,4.22
01/13/2026,4.1975
01/12/2026,4.215
01/09/2026,4.4575
01/08/2026,4.46
01/07/2026,4.4675
01/06/2026,4.44
01/05/2026,4.445
01/02/2026,4.375
12/31/2025,4.4025
12/30/2025,4.405
12/29/2025,4.4225
12/26/2025,4.50
12/24/2025,4.51
12/23/2025,4.475
12/22/2025,4.47
12/19/2025,4.4375
12/18/2025,4.445
12/17/2025,4.405
12/16/2025,4.365
12/15/2025,4.3975
12/12/2025,4.315
12/11/2025,4.3525
12/10/2025,4.3475
12/09/2025,4.4075
12/08/2025,4.3625
12/05/2025,4.3675
12/04/2025,4.3775
12/03/2025,4.315
12/02/2025,4.38
12/01/2025,4.3275
11/28/2025,4.355
11/26/2025,4.3175
11/25/2025,4.235
11/24/2025,4.2375
11/21/2025,4.255
11/20/2025,4.265
11/19/2025,4.2975
11/18/2025,4.3675
11/17/2025,4.3475
11/14/2025,4.3025
11/13/2025,4.415
11/12/2025,4.3525
11/11/2025,4.32
11/10/2025,4.2975
11/07/2025,4.2725
11/06/2025,4.2875
11/05/2025,4.3525
11/04/2025,4.315
11/03/2025,4.3425
10/31/2025,4.315
10/30/2025,4.3025
10/29/2025,4.34
10/28/2025,4.32
10/27/2025,4.2875
10/24/2025,4.2325
10/23/2025,4.28
10/22/2025,4.23
10/21/2025,4.1975
10/20/2025,4.2325
10/17/2025,4.225
10/16/2025,4.2175
10/15/2025,4.1675
10/14/2025,4.13
10/13/2025,4.1075
10/10/2025,4.13
10/09/2025,4.1825
10/08/2025,4.22
10/07/2025,4.1975
10/06/2025,4.2175
10/03/2025,4.19
10/02/2025,4.2175
10/01/2025,4.165
09/30/2025,4.155
09/29/2025,4.215
09/26/2025,4.22
09/25/2025,4.2575
09/24/2025,4.2425
09/23/2025,4.2625
09/22/2025,4.2175
09/19/2025,4.24
09/18/2025,4.2375
09/17/2025,4.2675
09/16/2025,4.295
09/15/2025,4.2325
09/12/2025,3.99
09/11/2025,3.99
09/10/2025,3.9725
09/09/2025,4.0125
09/08/2025,4.03
09/05/2025,3.99
09/04/2025,3.9975
09/03/2025,3.9775
09/02/2025,4.03
08/29/2025,3.98
08/28/2025,3.855
08/27/2025,3.825
08/26/2025,3.875
08/25/2025,3.8925
08/22/2025,3.8825
08/21/2025,3.8725
08/20/2025,3.80
08/19/2025,3.795
08/18/2025,3.83
08/15/2025,3.8375
08/14/2025,3.75
08/13/2025,3.74
08/12/2025,3.715
08/11/2025,3.85
08/08/2025,3.8275
08/07/2025,3.845
08/06/2025,3.7975
08/05/2025,3.815
08/04/2025,3.87
08/01/2025,3.895
07/31/2025,3.94
07/30/2025,3.9175
07/29/2025,3.8925
07/28/2025,3.9375
07/25/2025,3.995
07/24/2025,4.0175
07/23/2025,3.985
07/22/2025,3.9925
07/21/2025,4.0375
07/18/2025,4.085
07/17/2025,4.02
07/16/2025,4.0525
07/15/2025,4.0125
07/14/2025,4.1275
07/11/2025,4.03
07/10/2025,4.0725
07/09/2025,4.125
07/08/2025,4.11
07/07/2025,4.18
07/03/2025,4.315
07/02/2025,4.2925
07/01/2025,4.20
06/30/2025,4.205
06/27/2025,4.175
06/26/2025,4.095
06/25/2025,4.1025
06/24/2025,4.1625
06/23/2025,4.1925
06/20/2025,4.2875
06/18/2025,4.335
06/17/2025,4.315
06/16/2025,4.3475
06/13/2025,4.445
06/12/2025,4.385
06/11/2025,4.37
06/10/2025,4.3875
06/09/2025,4.335
06/06/2025,4.425
06/05/2025,4.395
06/04/2025,4.3875
06/03/2025,4.385
06/02/2025,4.3825
05/30/2025,4.44
05/29/2025,4.47
05/28/2025,4.51
05/27/2025,4.595
05/23/2025,4.595
05/22/2025,4.63
05/21/2025,4.61
05/20/2025,4.545
05/19/2025,4.475
05/16/2025,4.435
05/15/2025,4.485
05/14/2025,4.385
05/13/2025,4.36
05/12/2025,4.4025
05/09/2025,4.415
05/08/2025,4.39
05/07/2025,4.41
05/06/2025,4.475
05/05/2025,4.465
05/02/2025,4.6125
05/01/2025,4.6425
04/30/2025,4.6725
04/29/2025,4.605
04/28/2025,4.755
04/25/2025,4.7875
04/24/2025,4.7725
04/23/2025,4.72
04/22/2025,4.7575
04/21/2025,4.8175
04/17/2025,4.8225
04/16/2025,4.8425
04/15/2025,4.8125
04/14/2025,4.85
04/11/2025,4.9025
04/10/2025,4.83
04/09/2025,4.74
04/08/2025,4.69
04/07/2025,4.645
04/04/2025,4.6025
04/03/2025,4.575
04/02/2025,4.5775
04/01/2025,4.6175
03/31/2025,4.5725
