Date;Index;
31.01.2022;57,4;
28.02.2022;58,1;
31.03.2022;57,2;
30.04.2022;55,3;
31.05.2022;55,9;
30.06.2022;53,5;
31.07.2022;52,9;
31.08.2022;53;
30.09.2022;51,1;
31.10.2022;50,3;
30.11.2022;49;
31.12.2022;48;
31.01.2023;47,1;
28.02.2023;47,3;
31.03.2023;46,3;
30.04.2023;46,7;
31.05.2023;46,4;
30.06.2023;46,3;
31.07.2023;47;
31.08.2023;48;
30.09.2023;48,7;
31.10.2023;47,4;
30.11.2023;46,8;
31.12.2023;46,9;
31.01.2024;48,6;
29.02.2024;47,4;
31.03.2024;49,8;
30.04.2024;48,9;
31.05.2024;48,6;
30.06.2024;48,3;
31.07.2024;47,4;
31.08.2024;47,7;
30.09.2024;47,3;
31.10.2024;47;
30.11.2024;48,4;
31.12.2024;49,2;
31.01.2025;50,5;
28.02.2025;50;
31.03.2025;48,9;
30.04.2025;48,8;
31.05.2025;48,6;
30.06.2025;49;
31.07.2025;48,4;
31.08.2025;48,9;
30.09.2025;48,9;
31.10.2025;48,8;
30.11.2025;48;
31.12.2025;47,9;
31.01.2026;52,6;
28.02.2026;52,4;
;;
;;
;;
;;
